City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.65,light rain,-23.1203,-134.9692,People ThankYou
3,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
4,Kruisfontein,ZA,74.73,few clouds,-34.0033,24.7314,Oyster Bay House Rental
6,Bengkulu,ID,77.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
9,Butaritari,KI,79.88,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Piney Green,US,79.02,scattered clouds,34.716,-77.3202,Holiday City Mobile Home Community
14,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
16,Port Elizabeth,ZA,78.31,few clouds,-33.918,25.5701,39 On Nile Guest House
18,Kirakira,SB,81.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
19,Hilo,US,71.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Richards Bay,ZA,75.54,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
22,Vaini,TO,74.89,moderate rain,-21.2,-175.2,Keleti Beach Resort
23,Faanui,PF,82.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Aden,YE,79.34,clear sky,12.7794,45.0367,Sama Emirate Hotel
30,Port Blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
37,Banda Aceh,ID,80.31,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
39,Puerto Leguizamo,CO,79.75,overcast clouds,-0.1934,-74.7819,la casona de juancho
45,Hobyo,SO,80.13,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
47,Bredasdorp,ZA,75.49,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
48,Namatanai,PG,80.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
49,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,Will T Place
52,Cayon,KN,81.93,few clouds,17.35,-62.7333,Ottley's Plantation Inn
53,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
54,Hermanus,ZA,78.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
56,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
57,Saint Simons,US,76.01,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
58,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
59,Almeirim,BR,79.16,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
62,Georgetown,MY,85.95,light rain,5.4112,100.3354,Cititel Penang
