City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-03-17 23:42:18,-0.7393,-90.3518,81.55,83,33,4.0
1,Rikitea,PF,2022-03-17 23:37:57,-23.1203,-134.9692,80.58,79,14,14.83
2,La Rioja,ES,2022-03-17 23:42:18,42.25,-2.5,40.78,99,100,4.85
3,Torbay,CA,2022-03-17 23:42:18,47.6666,-52.7314,33.28,76,75,10.36
4,Vyazemskiy,RU,2022-03-17 23:42:19,47.5378,134.7525,15.46,80,9,8.41
5,Mamit,IN,2022-03-17 23:42:19,23.9333,92.4833,59.38,50,46,2.91
6,Kruisfontein,ZA,2022-03-17 23:42:19,-34.0033,24.7314,60.89,84,25,5.66
7,Nauta,PE,2022-03-17 23:42:20,-4.5061,-73.5757,73.8,98,73,2.57
8,Punta Arenas,CL,2022-03-17 23:37:40,-53.15,-70.9167,41.11,60,20,17.27
9,Maracas,BR,2022-03-17 23:42:20,-13.4411,-40.4308,65.07,89,36,8.75
10,Grindavik,IS,2022-03-17 23:42:21,63.8424,-22.4338,28.87,80,75,47.18
11,Kodiak,US,2022-03-17 23:42:21,57.79,-152.4072,29.71,80,100,8.05
12,Bronnitsy,RU,2022-03-17 23:42:22,55.4194,38.2708,17.49,76,0,2.24
13,Cape Town,ZA,2022-03-17 23:42:22,-33.9258,18.4232,69.28,70,0,2.3
14,Vaini,TO,2022-03-17 23:42:22,-21.2,-175.2,82.56,83,75,13.8
15,Haines Junction,CA,2022-03-17 23:42:23,60.7522,-137.5108,40.95,42,96,6.91
16,Yendi,GH,2022-03-17 23:42:23,9.4427,-0.0099,91.18,33,92,2.35
17,Mehamn,NO,2022-03-17 23:42:23,71.0357,27.8492,35.55,75,0,10.36
18,Ciudad Valles,MX,2022-03-17 23:38:13,21.9833,-99.0167,96.6,23,0,11.52
19,Saskylakh,RU,2022-03-17 23:42:24,71.9167,114.0833,-4.38,89,100,11.27
20,Machali,CL,2022-03-17 23:42:24,-34.1833,-70.6667,67.28,52,72,3.44
21,New Norfolk,AU,2022-03-17 23:42:25,-42.7826,147.0587,64.71,44,99,4.0
22,Geraldton,AU,2022-03-17 23:42:25,-28.7667,114.6,64.81,88,37,3.44
23,Martapura,ID,2022-03-17 23:42:25,-3.4167,114.85,77.09,94,40,3.44
24,Barrow,US,2022-03-17 23:42:26,71.2906,-156.7887,-9.38,77,20,6.91
25,Marabba,SD,2022-03-17 23:42:26,12.35,32.1833,71.56,12,11,12.06
26,Jamestown,US,2022-03-17 23:37:45,42.097,-79.2353,60.44,41,0,9.22
27,Qaanaaq,GL,2022-03-17 23:42:26,77.484,-69.3632,-14.57,74,92,8.84
28,Ribeira Grande,PT,2022-03-17 23:42:27,38.5167,-28.7,61.77,86,79,40.42
29,Mataura,NZ,2022-03-17 23:42:27,-46.1927,168.8643,60.48,51,16,2.3
30,East London,ZA,2022-03-17 23:42:27,-33.0153,27.9116,67.03,76,39,12.57
31,Faanui,PF,2022-03-17 23:42:28,-16.4833,-151.75,80.78,64,0,2.13
32,Port Moresby,PG,2022-03-17 23:42:28,-9.4431,147.1797,85.42,66,20,9.22
33,Chokurdakh,RU,2022-03-17 23:42:28,70.6333,147.9167,-17.39,99,86,6.31
34,Carnarvon,AU,2022-03-17 23:42:29,-24.8667,113.6333,75.27,73,70,11.5
35,Kodar,IN,2022-03-17 23:42:29,16.9833,79.9667,73.47,86,9,9.1
36,Lasa,IT,2022-03-17 23:42:30,46.6166,10.7002,45.01,95,100,2.55
37,Neiafu,TO,2022-03-17 23:42:30,-18.65,-173.9833,81.28,83,100,5.75
38,Pochutla,MX,2022-03-17 23:42:30,15.7432,-96.4661,84.81,53,34,9.35
39,Port Alfred,ZA,2022-03-17 23:42:31,-33.5906,26.891,67.75,76,19,17.02
40,Saint-Philippe,RE,2022-03-17 23:42:31,-21.3585,55.7679,78.39,89,33,4.34
41,Dikson,RU,2022-03-17 23:42:32,73.5069,80.5464,23.29,94,100,16.46
42,Provideniya,RU,2022-03-17 23:42:32,64.3833,-173.3,5.11,56,0,15.66
43,Butaritari,KI,2022-03-17 23:42:32,3.0707,172.7902,81.27,75,10,17.11
44,Raudeberg,NO,2022-03-17 23:42:33,61.9875,5.1352,43.86,70,98,19.73
45,Busselton,AU,2022-03-17 23:42:33,-33.65,115.3333,68.31,76,96,1.54
46,Hobart,AU,2022-03-17 23:38:19,-42.8794,147.3294,65.05,55,75,14.97
47,Kalianget,ID,2022-03-17 23:42:34,-7.05,113.9333,82.13,79,98,3.71
48,Necochea,AR,2022-03-17 23:42:34,-38.5473,-58.7368,63.34,58,91,14.07
49,Faya,SA,2022-03-17 23:42:35,18.3851,42.4509,51.91,45,1,1.9
50,Cayenne,GF,2022-03-17 23:42:35,4.9333,-52.3333,81.09,1,100,5.75
51,Victoria,HK,2022-03-17 23:41:04,22.2855,114.1577,77.18,95,37,1.99
52,Fayaoue,NC,2022-03-17 23:42:35,-20.65,166.5333,81.1,73,99,1.74
53,Ushuaia,AR,2022-03-17 23:42:36,-54.8,-68.3,33.46,93,75,16.11
54,Yellowknife,CA,2022-03-17 23:42:36,62.456,-114.3525,20.41,92,100,10.36
55,Mackay,AU,2022-03-17 23:42:37,-21.15,149.2,82.69,74,94,14.97
56,Hilo,US,2022-03-17 23:42:37,19.7297,-155.09,82.13,69,75,12.66
57,Stromness,GB,2022-03-17 23:37:38,58.965,-3.296,35.56,62,21,26.93
58,Plerin,FR,2022-03-17 23:42:37,48.5425,-2.7798,39.2,92,10,1.99
59,Deputatskiy,RU,2022-03-17 23:42:38,69.3,139.9,-12.8,81,52,2.59
60,Georgetown,MY,2022-03-17 23:37:55,5.4112,100.3354,76.98,94,20,3.44
61,Boralday,KZ,2022-03-17 23:42:38,43.3578,76.8594,44.46,93,100,15.66
62,Luanda,AO,2022-03-17 23:42:38,-8.8368,13.2343,75.96,82,98,9.84
63,Albany,US,2022-03-17 23:38:44,42.6001,-73.9662,53.38,89,100,3.09
64,Broome,US,2022-03-17 23:42:39,42.2506,-75.833,57.2,70,20,3.44
65,Balbalan,PH,2022-03-17 23:42:39,17.4414,121.2019,71.35,81,18,0.78
66,Berlevag,NO,2022-03-17 23:42:40,70.8578,29.0864,35.6,87,100,18.41
67,Fukue,JP,2022-03-17 23:42:40,32.6881,128.8419,57.56,100,75,17.27
68,Fort Nelson,CA,2022-03-17 23:41:18,58.8053,-122.7002,47.79,31,75,9.22
69,Keetmanshoop,NA,2022-03-17 23:42:40,-26.5833,18.1333,72.52,53,0,5.75
70,Hithadhoo,MV,2022-03-17 23:42:41,-0.6,73.0833,83.44,68,15,12.5
71,Cabo San Lucas,MX,2022-03-17 23:41:14,22.8909,-109.9124,80.62,50,2,9.93
72,Conde,BR,2022-03-17 23:42:41,-7.2597,-34.9075,78.26,89,20,6.91
73,Ukiah,US,2022-03-17 23:39:07,39.1502,-123.2078,70.84,42,0,10.36
74,Tiksi,RU,2022-03-17 23:42:42,71.6872,128.8694,-2.83,82,77,19.26
75,Mbanza-Ngungu,CD,2022-03-17 23:42:43,-5.25,14.8667,68.95,93,92,1.41
76,Hermanus,ZA,2022-03-17 23:42:43,-34.4187,19.2345,66.79,71,2,7.92
77,Montrose,US,2022-03-17 23:42:43,38.4166,-108.2673,40.41,48,23,13.0
78,Koppang,NO,2022-03-17 23:42:44,61.5706,11.0555,33.87,97,100,7.07
79,Khatanga,RU,2022-03-17 23:42:44,71.9667,102.5,12.9,94,100,14.99
